Name,Gender,Age,Div,Ctry,Time
Gebremariam Gebregziabher,M,27,14,ETH,142.93
Matebo Levy,M,22,2,KEN,133.10
Cherop Sharon,F,28,1,KEN,151.83
Chebet Wilson,M,26,5,KEN,134.93
Dado Firehiwot,F,28,4,ETH,154.93
Korir Laban,M,26,6,KEN,135.48
Jeptoo Rita,F,31,6,KEN,155.88
Korir Wesley,M,29,1,KEN,132.67
Kipyego Bernard,M,25,3,KEN,133.22
Barmasai David,M,23,8,KEN,137.27
Rono Georgina,F,31,3,KEN,153.15
Getaneh Genet,F,26,9,ETH,162.18
Kisorio Mathew,M,22,10,KEN,138.25
Sigei Diana,F,24,5,KEN,155.67
Sumgong Jemima Jelagat,F,27,2,KEN,151.87
Hartmann Jason,M,31,4,USA,134.52
Leonteva Nadezdha,F,27,8,RUS,160.67
Butter Michel,M,26,7,NED,136.63
Fujita Mayumi,F,28,7,JPN,159.18
Reyes Sergio,M,30,12,USA,142.10
Akor Mary A.,F,35,70,USA,194.17
Greenless Tommy,M,29,31,USA,154.13
Philbrook Lauren,F,24,19,USA,179.93
Miller Shannon M.,F,27,12,USA,175.78
Randall Glenn,M,25,49,USA,157.22
Manome Aya,F,29,82,JPN,195.48
Dionne Hilary K.,F,26,11,USA,171.93
Krong Jake,M,27,21,USA,150.35
Bedoya David,M,35,19,USA,149.57
Molyneux Paul M.,M,31,28,GBR,153.62
Kudo Akiko,F,28,14,JPN,176.33
Hensley Matt,M,24,18,USA,149.28
Herndon Elizabeth,F,26,34,USA,185.02
Ray Autumn J.,F,32,26,USA,181.68
Manning Matthew T.,M,32,35,USA,154.90
Muramatsu Natsuko,F,35,324,JPN,209.38
Wheeler Nicholas,M,26,27,USA,153.50
Warick Jason J.,M,38,55,CAN,158.13
Croft Sheila S.,F,37,10,USA,168.52
Gamble Jill,F,36,85,CAN,195.63
Mindel Scott,M,25,17,USA,147.25
Raddatz Melissa,F,35,57,USA,191.38
Tamura Hideaki,M,23,9,JPN,138.25
Shinozaki Kota,M,28,15,JPN,145.75
Linden Ryan C.,M,30,76,USA,161.00
Martin Brendan,M,23,13,USA,142.53
Hayasaka Koji,M,28,16,JPN,147.13
Tashiro Naoki,M,31,45,JPN,156.75
Oishi Ken,M,23,40,JPN,155.90
Tenorio Franklin B. Sr.,M,42,2,USA,144.07
Ryf Jason,M,41,3,USA,151.83
Hartshorn Chris,M,40,10,USA,163.55
Lokken Tracy C.,M,46,1,USA,151.10
Bardeesy Rami,M,43,16,CAN,166.97
Vanegas Esteban P.,M,41,389,USA,204.58
Steidl Uli,M,40,1,USA,143.13
Jillson Kevin C.,M,24,292,USA,176.18
Zyusko Larisa,F,42,3,RUS,167.78
Kolata Stefan M,M,30,240,USA,174.30
Pretot Svetlana,F,40,1,FRA,160.83
