Date,Albuquerque,Baltimore,Boston,Charlotte,Chicago,Dallas,Detroit,Las Vegas,Los Angeles,Miami,New Orleans,New York,Philadelphia,Phoenix,Portland,San Diego,San Francisco,San Juan,Seattle,St Louis,Tampa
19610101,-0.55,3.35,1.95,7.25,-4.75,4.15,-3.1,3.9,11.1,23.9,7.2,5.0,4.2,8.6,3.65,12.25,8.05,24.45,3.1,-0.55,15.0
19610102,-2.5,0.0,-0.8,4.45,-2.5,3.9,-5.0,2.5,10.0,20.0,8.05,0.25,-1.95,8.6,0.25,11.95,5.85,25.0,0.55,-0.55,13.6
19610103,-2.5,0.85,-3.05,2.2,-10.8,3.65,-5.85,3.9,13.1,16.7,8.3,0.25,-1.1,10.3,-1.4,13.35,4.7,24.75,0.0,0.3,11.95
19610104,-1.35,-2.5,-3.65,2.75,-8.6,5.3,-9.45,3.05,13.9,14.45,7.5,-2.8,-3.35,10.55,0.55,13.9,4.45,24.75,4.45,4.7,8.9
19610105,-0.25,-1.4,-4.45,5.0,-3.65,11.65,-2.5,4.45,14.45,17.2,7.2,-2.75,-2.8,12.5,6.4,13.9,4.15,24.45,8.35,7.2,11.65
19610106,0.3,3.05,2.75,5.55,2.8,9.2,2.5,5.55,13.9,19.45,13.85,3.3,1.4,11.95,7.5,15.55,4.15,24.75,6.7,7.75,15.85
19610107,1.1,7.2,5.8,6.65,1.35,8.9,2.5,6.4,11.65,19.7,12.5,6.95,5.85,10.25,7.8,15.25,5.6,24.15,9.7,5.0,18.05
19610108,1.1,2.5,1.95,5.3,-7.5,5.25,-3.85,6.1,15.3,20.3,10.0,1.7,0.85,12.2,9.15,15.55,10.25,25.55,7.2,-2.8,16.1
19610109,0.55,-1.7,-4.75,1.95,-7.5,4.2,-6.4,6.1,15.0,20.8,7.5,-4.45,-3.9,13.05,9.15,15.8,11.1,24.45,9.45,-3.35,14.75
19610110,0.0,-0.85,-4.45,0.8,-0.55,5.55,-1.95,8.9,15.0,20.55,8.05,-2.5,-3.85,11.4,9.15,17.2,9.15,25.0,10.3,3.05,15.55
19610111,2.2,1.95,1.4,4.45,1.4,5.85,0.55,8.35,18.35,20.0,12.5,1.4,0.85,13.3,7.8,18.1,8.35,23.6,7.8,4.75,18.6
19610112,1.4,4.2,-1.15,6.4,2.25,8.3,0.0,6.1,15.0,21.4,13.3,2.8,1.4,11.95,4.4,16.4,9.7,24.45,6.35,4.45,18.9
19610113,2.25,2.25,-0.25,5.55,4.7,10.0,3.6,7.25,13.05,22.25,15.25,3.05,0.85,10.6,8.35,15.0,7.8,23.3,7.8,5.85,20.0
19610114,1.95,5.0,8.6,9.15,-0.3,5.85,2.5,9.2,18.9,21.7,14.15,7.5,5.55,11.15,11.95,16.35,7.8,23.6,11.1,5.0,19.15
19610115,4.2,5.0,1.1,11.1,0.0,6.95,-0.55,10.55,18.05,20.85,10.6,3.05,3.05,12.5,11.65,18.65,7.5,24.7,10.0,2.75,18.05
19610116,3.6,0.8,-1.95,7.2,-1.7,9.15,-0.3,10.0,19.15,18.9,8.35,-0.8,-0.85,14.75,7.8,19.45,6.4,24.15,6.35,1.95,15.0
19610117,2.2,3.85,2.2,6.35,3.6,13.05,0.8,9.45,19.7,15.55,10.55,1.95,0.55,14.15,8.35,19.75,6.7,24.7,7.8,5.55,12.2
19610118,2.75,5.3,-1.15,7.8,-1.95,13.6,-1.4,9.75,18.35,14.15,12.75,1.1,2.5,13.6,7.25,19.2,7.5,24.45,8.35,2.75,12.8
19610119,-0.85,-2.25,-9.2,5.8,-6.4,3.9,-7.8,7.8,16.95,15.0,10.85,-5.55,-4.7,13.35,10.25,20.0,6.95,24.15,10.6,-3.9,13.35
19610120,1.1,-7.75,-10.0,0.25,-10.55,4.45,-8.35,8.35,17.75,13.05,5.85,-9.45,-10.0,15.85,9.15,17.5,7.25,22.25,8.05,-9.15,9.15
19610121,-0.8,-10.55,-10.85,-2.5,-14.7,-1.65,-11.4,8.05,16.95,12.25,1.15,-9.15,-13.35,14.45,7.25,16.4,7.5,25.0,4.7,-14.75,10.8
19610122,1.7,-12.75,-9.15,-6.1,-16.95,8.35,-14.15,6.65,15.3,10.0,3.3,-8.1,-12.75,14.15,2.5,16.95,10.55,23.9,0.3,-10.25,5.8
19610123,2.5,-8.35,-10.55,4.2,-13.35,9.4,-14.45,9.75,13.05,14.75,14.15,-7.8,-10.85,13.3,2.5,15.6,10.55,24.75,1.7,-8.35,9.45
19610124,3.05,-6.95,-10.25,6.95,-15.3,2.8,-14.45,9.7,14.7,17.8,15.3,-6.65,-9.15,13.35,4.15,14.45,9.45,25.8,5.25,-9.7,16.35
19610125,1.15,-12.2,-11.4,-4.2,-15.55,-5.0,-14.75,8.9,15.3,19.7,5.85,-11.1,-12.5,11.4,3.9,16.95,11.35,24.4,4.15,-13.6,17.8
19610126,4.7,-12.5,-9.15,-3.6,-12.75,-2.5,-11.1,10.85,14.2,23.05,3.05,-8.1,-11.4,12.5,5.85,14.75,12.8,24.7,8.05,-10.85,20.0
19610127,0.55,-9.2,-9.45,-1.35,-17.25,-5.25,-12.8,8.65,13.05,19.45,1.95,-8.35,-10.0,12.75,3.05,15.0,10.8,24.45,3.3,-15.0,12.5
19610128,-0.8,-11.35,-8.05,-1.95,-11.95,-5.0,-13.05,5.3,13.3,16.95,2.2,-8.6,-11.65,10.3,5.25,14.15,11.1,23.9,2.8,-7.5,11.15
19610129,0.85,-9.45,-6.4,1.7,-15.0,-3.65,-10.0,4.15,11.95,21.7,1.9,-5.55,-8.3,10.8,5.55,13.85,11.7,24.7,7.25,-8.9,11.65
19610130,0.8,-6.65,-9.2,1.4,-11.95,2.75,-10.85,7.5,13.6,16.4,4.7,-6.9,-8.6,12.8,9.7,15.85,14.15,25.0,9.45,-7.5,11.95
19610131,2.25,-5.0,-7.75,5.0,-6.95,10.0,-6.35,8.05,12.75,19.2,5.85,-5.0,-6.95,15.55,10.8,15.25,15.55,24.15,9.15,0.8,15.25
19610201,3.6,-6.15,-15.3,5.55,-5.8,14.2,-11.1,10.55,14.75,18.6,11.4,-9.75,-9.15,13.6,9.2,15.8,14.45,23.6,7.5,0.3,15.55
19610202,3.05,-12.5,-14.7,1.7,-10.0,9.4,-16.65,8.05,14.15,19.7,17.25,-12.75,-14.45,14.15,6.95,14.15,13.9,23.6,8.35,-7.25,16.15
19610203,4.45,-6.95,-8.1,-4.15,-7.5,4.7,-10.3,10.8,17.25,22.75,9.7,-7.75,-7.2,13.05,10.55,15.25,13.35,23.05,7.25,-10.0,16.4
19610204,2.5,0.0,-2.75,3.05,-7.5,8.3,-4.7,12.25,16.1,19.45,7.25,-0.55,0.0,13.9,10.8,16.65,12.8,23.6,9.45,-9.45,13.6
19610205,0.85,-2.8,-4.15,2.2,-6.95,2.2,-2.25,10.0,14.75,19.45,10.0,-2.5,-4.15,12.5,11.65,16.1,12.5,24.15,11.4,-6.4,15.3
19610206,-0.25,-4.15,-2.2,-0.25,-6.65,0.8,-2.25,8.05,13.3,21.4,11.95,-0.25,-5.0,10.8,10.0,14.15,12.8,23.35,8.65,-3.35,17.2
19610207,-0.55,-2.5,-3.6,2.2,-6.65,0.8,-5.25,8.6,13.6,24.15,9.45,-0.85,-4.45,11.95,6.95,14.7,10.25,23.9,6.95,-0.55,19.15
19610208,2.75,-0.25,-0.25,5.85,1.1,3.9,-0.8,8.9,12.5,18.6,6.95,-1.95,-1.65,11.7,7.75,13.6,12.2,23.6,7.8,-1.95,13.6
19610209,4.45,0.6,4.15,2.2,1.4,5.25,0.0,10.85,14.7,15.85,7.5,3.3,2.75,11.7,11.4,15.3,14.7,23.6,9.2,-2.2,11.35
19610210,8.65,4.2,2.8,4.75,-0.55,8.35,-0.55,11.65,14.7,13.35,9.2,3.65,2.2,13.85,9.45,16.4,13.35,24.4,7.5,-1.95,11.65
19610211,7.75,-0.55,-2.5,6.1,0.3,15.0,-2.8,13.6,13.9,14.15,12.5,-0.8,-1.95,16.15,8.6,15.0,11.65,23.05,8.05,2.5,12.5
19610212,11.1,-1.1,-3.65,13.3,1.65,16.95,-1.9,11.95,12.75,15.55,14.15,-2.5,-2.5,15.0,6.9,14.45,10.0,24.45,5.25,5.25,14.15
19610213,10.0,1.65,-3.9,7.5,4.45,16.65,3.65,9.15,11.95,17.8,16.9,-0.85,0.0,12.75,8.35,13.3,11.7,23.05,5.85,6.1,15.55
19610214,8.6,6.15,2.5,12.25,3.6,14.15,1.95,10.55,13.3,19.7,16.4,4.75,3.35,14.45,7.8,14.15,11.95,25.3,6.4,4.45,16.65
19610215,10.3,6.15,0.85,14.4,5.0,18.3,1.95,11.7,13.6,21.1,16.35,3.9,2.25,14.45,8.35,14.15,11.65,23.1,5.3,8.9,18.9
19610216,8.9,2.75,-4.75,12.25,2.5,18.3,-2.75,13.3,14.15,21.65,19.15,0.3,0.8,15.8,6.9,14.75,9.7,24.75,4.45,8.05,21.1
19610217,6.95,2.8,-0.6,10.25,6.4,20.55,1.7,11.1,13.3,23.05,20.55,1.4,-0.25,12.75,6.65,14.45,10.3,23.6,6.1,16.1,20.85
19610218,5.0,8.3,3.35,15.3,6.95,11.35,8.05,9.7,12.5,24.7,22.8,4.45,6.7,11.65,6.65,14.2,9.7,25.25,4.45,7.2,22.5
19610219,3.35,13.65,10.0,15.3,-3.35,4.15,2.25,10.85,13.9,25.3,20.85,10.3,10.0,14.7,10.0,13.3,9.75,25.0,8.35,-0.85,24.45
19610220,3.9,4.2,2.8,10.55,-1.65,5.55,-2.25,13.65,15.0,25.0,21.7,3.6,2.5,12.5,12.5,15.0,12.25,24.45,10.55,1.15,25.6
19610221,3.3,2.2,-0.3,6.1,3.05,7.5,1.1,12.8,15.25,25.25,20.0,3.35,2.2,13.35,8.6,16.65,11.7,24.7,7.8,5.0,25.3
19610222,6.1,3.9,6.1,6.9,3.05,13.6,2.5,15.55,17.75,25.55,16.65,5.25,3.65,13.9,7.2,15.55,11.35,25.0,6.4,11.1,25.0
19610223,-0.25,10.25,4.45,13.6,6.65,17.25,7.5,9.15,16.7,25.25,14.45,5.55,5.55,12.75,8.3,16.95,12.5,25.0,7.25,12.5,24.2
19610224,0.8,13.6,2.5,13.1,1.1,4.75,6.7,7.5,16.4,24.75,16.1,9.75,10.25,9.75,8.9,16.1,12.5,25.0,4.7,1.95,23.6
19610225,5.0,10.0,4.15,9.45,-1.95,11.15,1.7,10.0,13.6,22.5,11.15,8.65,11.15,12.2,4.45,15.3,10.8,24.15,3.05,-0.85,18.05
19610226,8.65,6.7,5.85,9.75,-0.3,14.45,0.85,10.3,14.45,16.7,13.35,5.55,5.85,14.7,5.0,15.25,9.7,24.45,3.6,5.85,15.25
19610227,0.8,11.15,6.65,11.15,0.0,10.3,4.2,6.1,13.05,18.9,15.0,8.6,8.6,11.1,7.75,14.15,10.85,25.0,4.7,5.0,16.7
19610228,3.3,6.1,3.9,14.2,1.4,6.35,1.95,9.15,14.45,24.75,16.7,5.0,4.2,11.15,8.3,15.0,10.8,24.75,6.65,3.35,22.2
19610301,4.45,2.5,0.85,8.05,3.6,10.3,3.3,10.8,18.35,24.15,10.55,1.9,0.55,13.05,7.5,18.35,11.15,24.2,5.8,6.1,23.6
19610302,8.6,6.65,3.05,6.4,8.05,15.3,6.7,12.75,15.0,24.45,11.1,5.0,5.6,15.0,5.0,14.45,11.4,25.0,3.35,11.65,21.7
19610303,10.55,11.65,8.1,9.45,6.65,19.7,9.45,11.1,13.9,24.75,20.55,8.6,8.65,14.7,3.9,14.45,9.15,25.55,2.8,10.8,22.75
19610304,7.5,12.2,6.4,16.15,7.5,24.2,8.6,10.0,11.95,25.55,23.9,9.2,10.0,10.8,3.9,13.6,10.85,24.2,0.3,18.35,25.85
19610305,5.85,15.0,2.5,20.85,2.2,21.95,8.35,8.9,12.2,25.25,24.7,10.25,12.5,12.5,6.65,14.45,10.55,24.7,4.45,10.55,24.7
19610306,8.05,13.6,1.4,20.55,5.6,15.55,10.55,13.05,13.9,25.8,24.45,5.25,9.45,13.35,7.5,14.75,10.25,24.45,5.55,9.75,25.55
19610307,3.3,15.55,6.4,19.75,-0.85,18.9,1.1,9.2,13.3,25.3,24.75,9.45,11.4,13.65,8.05,14.4,9.7,24.7,6.95,6.95,24.7
19610308,1.95,6.7,-0.8,16.7,-0.85,13.05,0.0,10.0,16.65,26.4,18.6,2.8,4.15,14.4,9.15,16.4,12.25,23.6,7.8,5.0,24.45
19610309,4.7,4.45,0.8,6.15,-0.25,10.0,-1.1,14.7,13.3,18.3,13.05,2.2,2.5,17.25,8.6,15.85,10.3,24.45,6.65,3.9,16.65
19610310,9.45,0.55,-3.05,6.35,-1.9,12.5,-3.85,14.2,13.05,13.6,9.15,-2.5,-0.3,17.8,6.1,15.85,11.35,25.85,5.25,3.85,11.4
19610311,11.9,4.15,-3.05,7.75,1.95,16.1,1.7,14.45,13.35,16.4,12.75,-0.85,1.1,16.1,7.5,15.55,11.95,24.75,4.7,10.8,14.2
19610312,10.85,9.45,0.0,11.95,0.0,21.1,3.85,14.7,13.6,22.5,19.7,6.4,6.15,16.95,9.45,15.8,11.1,25.85,6.1,10.8,19.75
19610313,8.9,6.65,2.2,15.3,3.65,14.45,2.5,16.1,13.6,23.9,21.65,2.5,3.65,17.5,9.15,16.15,13.9,25.55,6.95,8.3,19.75
19610314,12.25,6.35,0.25,12.5,5.0,15.85,3.9,17.25,13.35,23.3,16.95,3.05,3.9,18.6,12.8,15.55,13.35,24.45,12.2,8.9,18.35
19610315,13.05,9.7,3.9,11.15,0.3,20.3,3.6,13.9,12.8,21.95,16.1,6.95,7.25,17.8,10.8,15.55,11.65,24.45,10.55,7.5,18.05
